[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.020833333333333	
L1 norm of params:	1437143.570615	
Epoch 1 Validation accuracy:	0.61349083515416	
L1 norm of params:	1781408.480872	
Epoch 2 Validation accuracy:	0.61961337703326	
L1 norm of params:	2027824.5250493	
Epoch 3 Validation accuracy:	0.62290604515659	
L1 norm of params:	2243214.1396757	
Epoch 4 Validation accuracy:	0.62603939062879	
L1 norm of params:	2440675.0935873	
Epoch 5 Validation accuracy:	0.62854303228939	
L1 norm of params:	2625954.1243301	
Epoch 6 Validation accuracy:	0.62990106822044	
L1 norm of params:	2802180.8176558	
Epoch 7 Validation accuracy:	0.63104667394999	
L1 norm of params:	2971272.2966641	
Epoch 8 Validation accuracy:	0.63267024763292	
L1 norm of params:	3134113.0571891	
Epoch 9 Validation accuracy:	0.63349720806021	
L1 norm of params:	3292453.4975098	
Epoch 10 Validation accuracy:	0.63380826656956	
L1 norm of params:	3446801.2745178	
Epoch 11 Validation accuracy:	0.6343924496237	
L1 norm of params:	3597804.5840417	
Epoch 12 Validation accuracy:	0.63542425345958	
L1 norm of params:	3746044.5433073	
Epoch 13 Validation accuracy:	0.63543184025249	
L1 norm of params:	3891838.6961942	
Epoch 14 Validation accuracy:	0.63595532896334	
L1 norm of params:	4035172.5853127	
Epoch 15 Validation accuracy:	0.63614499878611	
L1 norm of params:	4176413.2029767	
Epoch 16 Validation accuracy:	0.63597808934207	
L1 norm of params:	4315834.1846625	
Epoch 17 Validation accuracy:	0.63644847050255	
L1 norm of params:	4453497.0359987	
Epoch 18 Validation accuracy:	0.6370402403496	
L1 norm of params:	4589438.6785679	
Epoch 19 Validation accuracy:	0.63723749696528	
L1 norm of params:	4723769.5702046	
Epoch 20 Validation accuracy:	0.63753338188881	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.63753338188881	
