ID,Count
1,5
2,35
3,24
4,35
5,25
6,20
7,21
8,5
9,5
10,26
11,24
12,14
13,12
14,22
15,31
16,11
17,11
18,7
19,21
20,24
21,7
22,30
23,27
24,16
25,18
26,13
27,25
28,19
29,12
30,3
31,20
32,39
33,6
34,22
35,22
36,20
37,21
38,15
39,30
40,19
41,31
42,12
43,34
44,11
45,9
46,31
47,22
48,25
49,6
50,4
51,17
52,19
53,25
54,14
55,23
56,40
57,24
58,26
59,6
60,21
61,21
62,18
63,19
64,25
65,27
66,13
67,19
68,21
69,28
70,31
71,9
72,12
73,20
74,27
75,3
76,25
77,15
78,26
79,12
80,26
81,12
82,16
83,18
84,11
85,35
86,20
87,26
88,19
89,6
90,2
91,18
92,21
93,27
94,19
95,34
96,25
97,30
98,31
99,29
100,9
101,4
102,23
103,17
104,35
105,26
106,16
107,32
108,21
109,51
110,24
111,25
112,12
113,35
114,22
115,25
116,47
117,24
118,30
119,22
120,13
121,20
122,15
123,16
124,34
125,13
126,15
127,30
128,13
129,9
130,17
131,30
132,18
133,17
134,32
135,19
136,29
137,27
138,6
139,4
140,6
141,15
142,28
143,20
144,6
145,11
146,15
147,29
148,28
149,26
150,19
151,8
152,27
153,17
154,15
155,15
156,17
157,18
158,21
159,11
160,25
161,27
162,18
163,21
164,21
165,15
166,12
167,8
168,7
169,16
170,14
171,8
172,17
173,14
174,16
175,14
176,21
177,17
178,28
179,9
180,12
181,19
182,16
183,34
184,28
185,8
186,17
187,19
188,11
189,19
190,20
191,35
192,9
193,30
194,18
195,34
196,41
197,56
198,55
199,10
200,21
201,8
202,34
203,24
204,14
205,30
206,11
207,25
208,25
209,23
210,19
211,17
212,19
213,26
214,33
215,31
216,20
217,14
218,28
219,10
220,28
221,36
222,21
223,32
224,13
225,10
226,40
227,27
228,21
229,22
230,11
231,17
232,42
233,4
234,21
235,16
236,11
237,7
238,26
239,6
240,29
241,55
242,4
243,9
244,19
245,12
246,12
247,42
248,28
249,25
250,28
251,28
252,25
253,27
254,19
255,34
256,32
