ID,Count
1,5
2,35
3,21
4,27
5,20
6,16
7,17
8,4
9,5
10,29
11,22
12,8
13,14
14,24
15,34
16,10
17,9
18,6
19,19
20,23
21,7
22,31
23,19
24,15
25,12
26,11
27,24
28,19
29,8
30,3
31,18
32,38
33,5
34,22
35,21
36,20
37,16
38,13
39,26
40,18
41,29
42,13
43,31
44,7
45,7
46,30
47,19
48,25
49,12
50,3
51,13
52,15
53,18
54,12
55,17
56,37
57,24
58,22
59,7
60,19
61,16
62,14
63,18
64,24
65,28
66,15
67,16
68,19
69,30
70,28
71,9
72,11
73,17
74,26
75,4
76,23
77,14
78,25
79,11
80,26
81,11
82,15
83,16
84,9
85,32
86,14
87,25
88,24
89,6
90,2
91,18
92,22
93,29
94,20
95,33
96,26
97,30
98,31
99,26
100,9
101,5
102,23
103,16
104,36
105,26
106,18
107,25
108,20
109,44
110,23
111,25
112,9
113,35
114,23
115,22
116,50
117,23
118,28
119,19
120,13
121,16
122,17
123,12
124,30
125,13
126,12
127,29
128,13
129,9
130,19
131,27
132,16
133,15
134,33
135,15
136,26
137,26
138,5
139,4
140,4
141,11
142,25
143,19
144,7
145,10
146,14
147,28
148,22
149,26
150,20
151,8
152,25
153,16
154,12
155,16
156,18
157,19
158,20
159,10
160,22
161,25
162,17
163,18
164,19
165,16
166,11
167,10
168,6
169,16
170,13
171,8
172,14
173,17
174,16
175,20
176,22
177,15
178,22
179,11
180,10
181,20
182,16
183,34
184,26
185,4
186,18
187,18
188,9
189,17
190,21
191,33
192,8
193,29
194,17
195,32
196,37
197,52
198,52
199,9
200,18
201,8
202,27
203,22
204,10
205,28
206,10
207,22
208,23
209,20
210,17
211,19
212,19
213,26
214,31
215,30
216,16
217,12
218,26
219,12
220,24
221,37
222,20
223,29
224,13
225,8
226,35
227,20
228,21
229,22
230,10
231,17
232,40
233,3
234,23
235,18
236,7
237,7
238,23
239,7
240,29
241,50
242,3
243,7
244,17
245,14
246,9
247,40
248,25
249,22
250,26
251,23
252,23
253,23
254,17
255,30
256,29
