ID,Number
1,4
2,29
3,22
4,33
5,17
6,16
7,18
8,3
9,5
10,31
11,20
12,6
13,13
14,24
15,30
16,12
17,9
18,5
19,17
20,21
21,7
22,29
23,21
24,14
25,16
26,11
27,20
28,20
29,8
30,3
31,15
32,36
33,5
34,23
35,20
36,19
37,15
38,13
39,27
40,16
41,27
42,12
43,32
44,10
45,7
46,31
47,19
48,22
49,9
50,3
51,15
52,16
53,20
54,14
55,16
56,36
57,21
58,21
59,6
60,21
61,16
62,13
63,15
64,24
65,27
66,14
67,17
68,14
69,29
70,25
71,9
72,12
73,18
74,27
75,4
76,24
77,15
78,24
79,12
80,25
81,9
82,12
83,16
84,10
85,35
86,18
87,21
88,18
89,6
90,2
91,13
92,18
93,28
94,19
95,28
96,26
97,28
98,28
99,21
100,8
101,6
102,17
103,17
104,37
105,25
106,16
107,23
108,18
109,48
110,21
111,26
112,11
113,36
114,17
115,22
116,43
117,22
118,25
119,22
120,12
121,17
122,13
123,13
124,26
125,12
126,12
127,30
128,12
129,10
130,17
131,24
132,16
133,14
134,29
135,16
136,27
137,25
138,5
139,4
140,4
141,12
142,25
143,19
144,6
145,8
146,14
147,26
148,23
149,22
150,17
151,7
152,20
153,17
154,13
155,15
156,14
157,19
158,17
159,10
160,18
161,23
162,16
163,19
164,19
165,15
166,13
167,9
168,6
169,16
170,13
171,6
172,13
173,15
174,16
175,19
176,19
177,13
178,22
179,8
180,8
181,17
182,17
183,33
184,25
185,6
186,15
187,18
188,8
189,16
190,18
191,32
192,9
193,29
194,13
195,31
196,36
197,49
198,49
199,8
200,16
201,6
202,27
203,18
204,11
205,23
206,11
207,26
208,23
209,18
210,18
211,18
212,15
213,26
214,29
215,33
216,15
217,10
218,25
219,10
220,25
221,32
222,18
223,28
224,12
225,8
226,30
227,22
228,16
229,19
230,9
231,15
232,32
233,4
234,23
235,14
236,7
237,5
238,22
239,4
240,26
241,49
242,3
243,7
244,15
245,12
246,10
247,39
248,24
249,22
250,24
251,22
252,19
253,21
254,15
255,27
256,29
257,22
258,26
259,15
260,11
261,9
262,11
263,21
264,12
265,19
266,28
267,41
268,13
269,27
270,39
271,15
272,31
273,4
274,32
275,24
276,17
277,11
278,29
279,14
280,16
281,8
282,30
283,28
284,17
285,20
286,9
287,19
288,14
289,5
290,19
291,28
292,38
293,20
294,11
295,23
296,21
297,16
298,23
299,16
300,14
301,13
302,13
303,28
304,26
305,6
306,6
307,14
308,14
309,13
310,14
311,2
312,3
313,16
314,11
315,15
316,26
317,28
318,10
319,42
320,19
321,14
322,19
323,8
324,25
325,5
326,6
327,14
328,16
329,15
330,21
331,17
332,30
333,6
334,15
335,23
336,3
337,24
338,14
339,13
340,24
341,11
342,7
343,5
344,13
345,19
346,22
347,30
348,40
349,17
350,28
351,24
352,21
353,26
354,23
355,23
356,30
357,12
358,15
359,28
360,17
361,26
362,22
363,19
364,33
365,19
366,17
367,17
368,29
369,12
370,29
371,15
372,18
373,19
374,18
375,30
376,16
377,20
378,10
379,12
380,14
381,14
382,24
383,21
384,27
385,38
386,24
387,17
388,5
389,29
390,16
391,22
392,16
393,26
394,16
395,14
396,22
397,18
398,20
399,20
400,22
401,33
402,17
403,26
404,10
405,16
406,16
407,18
408,25
409,11
410,20
411,10
412,16
413,6
414,12
415,19
416,13
417,32
418,30
419,30
420,16
421,19
422,25
423,14
424,14
425,13
426,12
427,22
428,10
429,9
430,23
431,31
432,6
433,14
434,13
435,23
436,17
437,21
438,23
439,20
440,17
441,29
442,23
443,9
444,21
445,7
446,7
447,17
448,21
449,33
450,27
451,15
452,13
453,5
454,7
455,12
456,39
457,11
458,15
459,19
460,14
461,17
462,17
463,25
464,14
465,24
466,15
467,7
468,12
469,23
470,19
471,15
472,14
473,7
474,16
475,20
476,19
477,27
478,23
479,49
480,16
481,6
482,14
483,19
484,4
485,30
486,14
487,8
488,10
489,31
490,23
491,26
492,15
493,8
494,19
495,8
496,17
497,12
498,13
499,6
500,17
501,4
502,18
503,7
504,27
505,15
506,9
507,14
508,28
509,11
510,13
511,21
512,16
513,11
514,22
515,12
516,15
517,4
518,21
519,10
520,16
521,13
522,20
523,30
524,36
525,46
526,18
527,27
528,29
529,41
530,9
531,24
532,12
533,16
534,18
535,30
536,25
537,16
538,32
539,24
540,16
541,20
542,23
543,15
544,31
545,17
546,15
547,20
548,26
549,16
550,32
551,31
552,36
553,19
554,30
555,16
556,14
557,15
558,18
559,7
560,33
561,27
562,6
563,26
564,39
565,40
566,20
567,14
568,12
569,13
570,10
571,10
572,15
573,13
574,26
575,24
576,17
577,23
578,10
579,10
580,35
581,15
582,24
583,18
584,11
585,15
586,25
587,22
588,18
589,42
590,12
591,39
592,17
593,14
594,32
595,21
596,8
597,16
598,28
599,15
600,26
601,28
602,11
603,16
604,16
605,14
606,15
607,15
608,34
609,1
610,26
611,23
612,13
613,20
614,13
615,17
616,14
617,11
618,22
619,30
620,23
621,18
622,22
623,32
624,24
625,31
626,9
627,34
628,10
629,24
630,13
631,16
632,24
633,27
634,29
635,29
636,8
637,17
638,20
639,30
640,9
641,17
642,16
643,24
644,1
645,1
646,24
647,12
648,1
649,16
650,13
651,1
652,26
653,12
654,34
655,2
656,14
657,24
658,12
659,14
660,23
661,25
662,9
663,29
664,14
665,19
666,16
667,26
668,10
669,22
670,19
671,31
672,30
673,15
674,15
675,21
676,17
677,19
678,19
679,14
680,27
681,19
682,10
683,18
684,20
685,20
686,24
687,16
688,27
689,23
690,25
691,28
692,40
693,22
694,25
695,13
696,30
697,5
698,30
699,18
700,30
701,27
702,33
703,23
704,11
705,13
706,18
707,16
708,11
709,14
710,10
711,9
712,35
713,23
714,24
715,26
716,20
717,35
718,21
719,34
720,27
721,27
722,14
723,14
724,31
725,22
726,28
727,37
728,25
729,19
730,20
731,21
732,16
733,24
734,20
735,17
736,28
737,28
738,36
739,22
740,17
741,13
742,22
743,13
744,29
745,19
746,14
747,12
748,31
749,34
750,13
751,23
752,19
753,8
754,15
755,28
756,24
757,11
758,18
759,9
760,5
761,38
762,22
763,26
764,12
765,32
766,11
767,22
768,16
769,24
770,21
771,8
772,28
773,30
774,22
775,11
776,28
777,20
778,6
779,13
780,17
781,32
782,29
783,32
784,8
785,10
786,30
787,26
788,27
789,28
790,34
791,16
792,19
793,28
794,37
795,21
796,14
797,13
798,26
799,14
800,11
801,12
802,5
803,30
804,20
805,19
806,17
807,13
808,42
809,10
810,4
811,37
812,27
813,31
814,17
815,21
816,20
817,8
818,11
819,6
820,30
821,11
822,25
823,36
824,5
825,29
826,16
827,10
828,14
829,17
830,22
831,20
832,25
833,14
834,8
835,12
836,8
837,18
838,19
839,31
840,14
841,30
842,10
843,28
844,37
845,28
846,17
847,15
848,31
849,17
850,23
851,28
852,13
853,8
854,21
855,18
856,15
857,16
858,13
859,35
860,5
861,22
862,21
863,16
864,19
865,19
866,16
867,17
868,24
869,6
870,32
871,29
872,12
873,2
874,31
875,25
876,9
877,22
878,21
879,41
880,9
881,23
882,18
883,13
884,23
885,25
886,10
887,22
888,17
889,33
890,26
891,8
892,26
893,30
894,4
895,6
896,24
897,34
898,11
899,25
900,19
901,16
902,30
903,26
904,28
905,44
906,23
907,10
908,29
909,18
910,12
911,6
912,11
913,6
914,6
915,23
916,23
917,11
918,19
919,14
920,11
921,23
922,22
923,13
924,21
925,13
926,25
927,24
928,20
929,28
930,6
931,12
932,19
933,17
934,15
935,12
936,15
937,12
938,9
939,20
940,11
941,9
942,16
943,4
944,10
945,7
946,13
947,12
948,23
949,24
950,20
951,25
952,20
953,14
954,19
955,26
956,16
957,22
958,31
959,18
960,17
961,25
962,22
963,29
964,30
965,15
966,17
967,12
968,23
969,13
970,12
971,28
972,20
973,10
974,14
975,24
976,38
977,23
978,37
979,25
980,34
981,20
982,11
983,11
984,16
985,14
986,24
987,15
988,13
989,11
990,24
991,26
992,13
993,34
994,10
995,16
996,17
997,26
998,16
999,13
1000,18
1001,21
1002,15
1003,20
1004,25
1005,14
1006,17
1007,13
1008,13
1009,16
1010,29
1011,40
1012,27
1013,14
1014,29
1015,50
1016,26
1017,24
1018,32
1019,32
1020,24
1021,16
1022,11
1023,8
1024,6
1025,14
1026,18
1027,7
1028,21
1029,24
1030,8
1031,19
1032,7
1033,15
1034,30
1035,10
1036,28
1037,14
1038,15
1039,7
1040,21
1041,17
1042,15
1043,9
1044,13
1045,27
1046,20
1047,5
1048,24
1049,20
1050,23
1051,30
1052,14
1053,15
1054,13
1055,30
1056,5
1057,13
1058,20
1059,15
1060,22
1061,30
1062,22
1063,7
1064,26
1065,16
1066,20
1067,9
1068,11
1069,24
1070,23
1071,6
1072,18
1073,25
1074,24
1075,15
1076,12
1077,27
1078,27
1079,6
1080,31
1081,15
1082,16
1083,20
1084,23
1085,29
1086,24
1087,16
1088,23
1089,14
1090,10
1091,12
1092,10
1093,37
1094,31
1095,21
1096,18
1097,7
1098,13
1099,13
1100,12
1101,3
1102,25
1103,42
1104,18
1105,22
1106,26
1107,33
1108,12
1109,11
1110,12
1111,6
1112,25
1113,37
1114,18
1115,32
1116,29
1117,37
1118,4
1119,32
1120,14
1121,23
1122,37
1123,22
1124,16
1125,27
1126,16
1127,5
1128,18
1129,26
1130,5
1131,9
1132,27
1133,10
1134,23
1135,15
1136,8
1137,12
1138,34
1139,12
1140,24
1141,11
1142,13
1143,18
1144,19
1145,15
1146,24
1147,26
1148,24
1149,4
1150,16
1151,20
1152,28
1153,23
1154,20
1155,27
1156,12
1157,11
1158,23
1159,15
1160,13
1161,7
1162,21
1163,22
1164,25
1165,17
1166,20
1167,17
1168,19
1169,33
1170,8
1171,21
1172,25
1173,41
1174,15
1175,23
1176,36
1177,28
1178,30
1179,29
1180,35
1181,31
1182,20
1183,30
1184,16
1185,42
1186,20
1187,10
1188,4
1189,17
1190,18
1191,14
1192,14
1193,23
1194,24
1195,16
1196,27
1197,25
1198,17
1199,23
1200,29
1201,18
1202,18
1203,18
1204,17
1205,11
1206,19
1207,12
1208,26
1209,15
1210,21
1211,25
1212,21
1213,12
1214,16
1215,20
1216,13
1217,20
1218,30
1219,11
1220,31
1221,15
1222,30
1223,22
1224,41
1225,32
1226,26
1227,11
1228,29
1229,11
1230,19
1231,17
1232,22
1233,22
1234,19
1235,19
1236,23
1237,22
1238,12
1239,37
1240,28
1241,12
1242,16
1243,32
1244,11
1245,15
1246,27
1247,32
1248,20
1249,14
1250,11
1251,25
1252,36
1253,18
1254,14
1255,28
1256,28
1257,33
1258,5
1259,31
1260,31
1261,16
1262,25
1263,11
1264,17
1265,17
1266,24
1267,18
1268,11
1269,32
1270,27
1271,20
1272,26
1273,22
1274,17
1275,14
1276,12
1277,20
1278,18
1279,11
1280,12
1281,20
1282,7
1283,11
1284,23
1285,10
1286,9
1287,21
1288,17
1289,22
1290,16
1291,10
1292,25
1293,6
1294,6
1295,15
1296,25
1297,26
1298,16
1299,19
1300,20
1301,21
1302,24
1303,9
1304,34
1305,19
1306,15
1307,34
1308,16
1309,26
1310,29
1311,18
1312,5
1313,22
1314,18
1315,16
1316,24
1317,26
1318,24
1319,19
1320,25
1321,28
1322,19
1323,31
1324,39
1325,17
1326,20
1327,15
1328,15
1329,18
1330,36
1331,9
1332,14
1333,34
1334,27
1335,15
1336,12
1337,14
1338,15
1339,22
1340,35
1341,18
1342,41
1343,25
1344,11
1345,20
1346,46
1347,18
1348,22
1349,34
1350,33
1351,12
1352,25
1353,4
1354,14
1355,31
1356,30
1357,10
1358,29
1359,32
1360,22
1361,22
1362,15
1363,25
1364,11
1365,29
1366,10
1367,14
1368,34
1369,32
1370,7
1371,19
1372,15
1373,20
1374,15
1375,4
1376,28
1377,25
1378,9
1379,14
1380,9
1381,36
1382,16
1383,21
1384,17
1385,6
1386,22
1387,16
1388,27
1389,8
1390,21
1391,11
1392,29
1393,17
1394,15
1395,18
1396,35
1397,9
1398,14
1399,6
1400,20
1401,8
1402,18
1403,6
1404,14
1405,11
1406,10
1407,14
1408,22
1409,21
1410,14
1411,30
1412,17
1413,22
1414,6
1415,27
1416,8
1417,6
1418,3
1419,5
1420,20
1421,3
1422,17
1423,17
1424,19
1425,22
1426,14
1427,22
1428,15
1429,14
1430,18
1431,28
1432,14
1433,6
1434,11
1435,13
1436,30
1437,9
1438,10
1439,22
1440,21
1441,5
1442,23
1443,15
1444,22
1445,18
1446,12
1447,5
1448,7
1449,15
1450,31
1451,13
1452,12
1453,19
1454,15
1455,19
1456,21
1457,24
1458,8
1459,12
1460,10
1461,18
1462,21
1463,2
1464,20
1465,23
1466,14
1467,13
1468,21
1469,12
1470,17
1471,10
1472,6
1473,13
1474,22
1475,24
1476,22
1477,21
1478,10
1479,24
1480,13
1481,17
1482,21
1483,9
1484,12
1485,10
1486,4
1487,7
1488,37
1489,19
1490,3
1491,15
1492,9
1493,32
1494,10
1495,16
1496,9
1497,22
1498,10
1499,1
1500,14
1501,14
1502,21
1503,20
1504,36
1505,17
1506,17
1507,15
1508,7
1509,18
1510,18
1511,23
1512,31
1513,17
1514,14
1515,8
1516,33
1517,31
1518,16
1519,8
1520,2
1521,24
1522,22
1523,32
1524,22
1525,24
1526,20
1527,6
1528,31
1529,9
1530,11
1531,14
1532,20
1533,33
1534,34
1535,19
1536,7
1537,19
1538,16
1539,22
1540,13
1541,36
1542,25
1543,22
1544,17
1545,26
1546,16
1547,17
1548,26
1549,13
1550,3
1551,14
1552,12
1553,4
1554,18
1555,25
1556,30
1557,16
1558,10
1559,22
1560,31
1561,20
1562,21
1563,32
1564,17
1565,13
1566,17
1567,14
1568,24
1569,13
1570,24
1571,17
1572,7
1573,26
1574,24
1575,23
1576,9
1577,9
1578,26
1579,17
1580,6
1581,19
1582,27
1583,10
1584,11
1585,28
1586,18
1587,15
1588,28
1589,38
1590,11
1591,21
1592,13
1593,24
1594,5
1595,9
1596,14
1597,26
1598,12
1599,23
1600,18
1601,23
1602,13
1603,15
1604,42
1605,18
1606,7
1607,35
1608,28
1609,21
1610,29
1611,15
1612,15
1613,13
1614,20
1615,13
1616,12
1617,22
1618,22
1619,10
1620,2
1621,21
1622,5
1623,21
1624,5
1625,38
1626,9
1627,16
1628,30
1629,5
1630,17
1631,16
1632,14
1633,27
1634,40
1635,12
1636,2
1637,13
1638,6
1639,2
1640,2
1641,14
1642,8
1643,34
1644,30
1645,8
1646,19
1647,12
1648,5
1649,31
1650,32
1651,14
1652,7
1653,14
1654,7
1655,17
1656,23
1657,2
1658,28
1659,14
1660,12
1661,6
1662,10
1663,5
1664,7
1665,26
1666,9
1667,2
1668,24
1669,8
1670,11
1671,13
1672,9
1673,16
1674,9
1675,15
1676,2
1677,14
1678,17
1679,1
1680,12
1681,16
1682,6
1683,4
1684,9
1685,13
1686,6
1687,5
1688,16
1689,8
1690,11
1691,9
1692,4
1693,16
1694,7
1695,6
1696,2
1697,12
1698,22
1699,18
1700,14
1701,11
1702,8
1703,4
1704,9
1705,18
1706,3
1707,13
1708,18
1709,19
1710,12
1711,3
1712,20
1713,9
1714,34
1715,10
1716,7
1717,13
1718,18
1719,1
1720,16
1721,12
1722,11
1723,16
1724,20
1725,17
1726,17
1727,1
1728,38
1729,16
1730,7
1731,10
1732,26
1733,16
1734,23
1735,1
1736,8
1737,26
1738,13
1739,14
1740,4
1741,2
1742,30
1743,30
1744,13
1745,10
1746,20
1747,16
1748,11
1749,16
1750,3
1751,24
1752,15
1753,11
1754,18
1755,13
1756,32
1757,12
1758,12
1759,6
1760,2
1761,15
1762,2
1763,6
1764,13
1765,8
1766,5
1767,16
1768,6
1769,12
1770,16
1771,20
1772,13
1773,21
1774,7
1775,30
1776,14
1777,7
1778,37
1779,9
1780,6
1781,7
1782,9
1783,6
1784,32
1785,14
1786,2
1787,2
1788,27
1789,20
1790,15
1791,26
1792,16
1793,25
1794,7
1795,30
1796,19
1797,39
1798,11
1799,37
1800,28
1801,16
1802,2
1803,2
1804,12
1805,2
1806,8
1807,15
1808,22
1809,16
1810,10
1811,17
1812,32
1813,15
1814,17
1815,21
1816,25
1817,22
1818,10
1819,19
1820,20
1821,11
1822,20
1823,24
1824,15
1825,8
1826,32
1827,17
1828,29
1829,31
1830,19
1831,17
1832,7
1833,17
1834,11
1835,24
1836,6
1837,14
1838,16
1839,8
1840,26
1841,10
1842,18
1843,27
1844,9
1845,19
1846,14
1847,15
1848,20
1849,19
1850,31
1851,8
1852,19
1853,14
1854,10
1855,20
1856,5
1857,13
1858,29
1859,15
1860,13
1861,26
1862,22
1863,20
1864,21
1865,13
1866,11
1867,20
1868,30
1869,6
1870,22
1871,17
1872,8
1873,4
1874,29
1875,8
1876,12
1877,6
1878,38
1879,6
1880,12
1881,15
1882,51
1883,4
1884,16
1885,1
1886,3
1887,9
1888,2
1889,16
1890,12
1891,5
1892,0
1893,2
1894,11
1895,1
1896,6
1897,6
1898,8
1899,48
1900,1
1901,14
1902,12
1903,4
1904,19
1905,25
1906,4
1907,7
1908,11
1909,2
1910,24
1911,10
1912,4
1913,52
1914,6
1915,19
1916,17
1917,3
1918,12
1919,13
1920,2
1921,27
1922,8
1923,6
1924,12
1925,18
1926,4
1927,6
1928,13
1929,19
1930,4
1931,4
1932,2
1933,15
1934,21
1935,7
1936,29
1937,15
1938,8
1939,16
1940,34
1941,10
1942,11
1943,24
1944,11
1945,6
1946,8
1947,7
1948,30
1949,8
1950,31
1951,24
1952,26
1953,17
1954,39
1955,24
1956,25
1957,18
1958,23
1959,18
1960,2
1961,22
1962,16
1963,23
1964,22
1965,23
1966,12
1967,37
1968,25
1969,18
1970,8
1971,19
1972,13
1973,14
1974,26
1975,3
1976,12
1977,7
1978,30
1979,22
1980,19
1981,18
1982,10
1983,38
1984,17
1985,29
1986,12
1987,23
1988,42
1989,18
1990,23
1991,30
1992,16
1993,14
1994,18
1995,14
1996,21
1997,30
1998,11
1999,6
2000,9
2001,24
2002,19
2003,2
2004,26
2005,16
2006,29
2007,21
2008,11
2009,30
2010,14
2011,18
2012,13
2013,19
2014,28
2015,17
2016,21
2017,25
2018,26
2019,42
2020,17
2021,44
2022,29
2023,22
2024,1
2025,6
2026,25
2027,9
2028,41
2029,28
2030,30
2031,35
2032,26
2033,30
2034,23
2035,16
2036,27
2037,34
2038,34
2039,51
2040,25
2041,17
2042,9
2043,32
2044,17
2045,29
2046,23
2047,7
2048,10
2049,6
2050,3
2051,9
2052,3
2053,6
2054,3
2055,8
2056,5
2057,12
2058,2
2059,5
2060,2
2061,8
2062,3
2063,6
2064,4
2065,7
2066,5
2067,7
